tick,moisture,sunlight,temperature,soil_health,event_marker
0,83.8,24.8,18.9,66.2,none
1,83.5,26.3,18.6,66.2,none
2,83.3,26.8,18.9,66.7,none
3,83.1,24.3,18.6,65.5,none
4,82.9,28.1,17.5,64.9,none
5,82.7,27.9,19.3,67.4,none
6,82.4,27.1,17.6,64.6,none
7,82.2,25.0,17.5,63.7,none
8,81.9,26.3,19.0,66.2,none
9,81.7,29.8,18.1,65.7,none
10,81.4,27.0,17.9,64.6,none
11,81.2,29.0,18.0,65.2,none
12,81.0,27.2,18.1,64.7,none
13,80.8,30.1,18.9,66.6,none
14,80.6,27.0,18.1,64.6,none
15,80.4,30.2,18.1,65.4,none
16,80.2,31.0,19.8,68.0,none
17,80.0,33.0,19.9,68.8,none
18,79.8,31.5,19.4,67.4,none
19,79.5,31.7,18.6,66.1,none
20,79.3,32.4,20.0,68.5,none
21,79.0,31.8,19.6,67.5,none
22,78.8,33.2,19.0,66.9,none
23,78.5,35.0,19.0,67.3,none
24,78.3,33.5,20.0,68.3,none
25,78.0,35.7,19.8,68.6,none
26,77.8,34.5,19.7,68.0,none
27,77.5,33.5,18.8,66.3,none
28,77.4,32.7,20.4,68.4,none
29,77.1,35.0,20.3,68.8,none
30,76.9,32.1,20.4,68.0,none
31,76.7,35.6,19.9,68.2,none
32,76.4,36.9,19.9,68.5,none
33,76.2,36.3,19.5,67.6,none
34,76.0,38.7,19.7,68.6,none
35,75.7,37.1,20.4,69.1,none
36,75.5,39.9,19.8,68.9,none
37,75.2,35.4,19.5,67.0,none
38,75.0,38.5,19.9,68.4,none
39,74.8,40.4,19.9,68.9,none
40,74.6,39.6,20.3,69.1,none
41,74.3,37.6,20.4,68.7,none
42,74.1,37.3,20.4,68.4,none
43,73.8,37.4,20.3,68.2,none
44,73.5,41.6,19.9,68.7,none
45,73.3,42.2,20.7,70.0,none
46,73.1,40.4,20.3,68.7,none
47,72.9,42.7,21.2,70.8,none
48,72.7,43.3,20.2,69.3,none
49,72.4,41.4,20.6,69.4,none
50,72.2,44.3,20.3,69.6,none
51,72.0,43.4,20.2,69.2,none
52,71.8,45.0,20.6,70.2,none
53,71.6,45.6,22.0,72.3,none
54,71.3,40.8,20.4,68.4,none
55,71.1,46.2,21.2,71.1,none
56,70.9,45.3,21.7,71.5,none
57,70.7,46.9,20.6,70.2,none
58,70.5,46.7,22.5,71.4,none
59,70.3,43.7,22.6,70.4,none
60,70.0,47.4,21.1,70.8,none
61,69.8,44.1,21.6,70.5,none
62,69.5,43.7,21.4,70.1,none
63,69.3,48.2,22.0,72.2,none
64,69.0,49.8,22.9,71.2,none
65,68.8,50.0,22.8,71.3,none
66,68.5,46.9,21.4,70.6,none
67,68.3,45.8,22.2,70.7,none
68,68.1,50.7,21.7,72.0,none
69,67.9,47.0,21.4,70.3,none
70,67.7,46.2,23.1,69.3,none
71,67.5,49.2,21.4,70.8,none
72,67.3,48.9,22.4,71.1,none
73,67.1,49.5,22.5,70.9,none
74,66.9,48.1,23.0,69.7,none
75,66.6,48.0,22.2,70.8,none
76,66.5,48.7,22.4,70.6,none
77,66.2,54.0,21.9,72.5,none
78,66.0,49.7,23.6,68.9,none
79,65.8,49.4,23.7,68.5,none
80,65.5,50.4,22.4,70.8,none
81,65.3,52.9,22.6,71.1,none
82,65.0,50.3,22.0,71.1,none
