tick,moisture,sunlight,temperature,soil_health,event_marker
0,88.8,21.6,18.7,67.1,none
1,88.5,27.2,19.3,69.5,none
2,88.3,27.1,19.9,70.2,none
3,88.0,26.1,19.2,68.8,none
4,87.9,23.3,19.1,67.8,none
5,87.6,24.3,20.3,69.7,none
6,87.4,23.5,19.8,68.7,none
7,87.2,26.0,19.5,68.9,none
8,87.0,28.0,19.7,69.7,none
9,86.7,29.2,19.4,69.6,none
10,86.5,26.0,20.2,69.8,none
11,86.2,30.7,18.7,68.7,none
12,86.0,29.6,19.5,69.5,none
13,85.7,26.5,20.3,69.7,none
14,85.4,27.7,20.0,69.5,none
15,85.2,28.0,19.3,68.4,none
16,85.0,32.1,19.3,69.5,none
17,84.8,32.6,20.5,71.5,none
18,84.6,32.6,19.3,69.5,none
19,84.4,30.1,19.4,68.8,none
20,84.1,29.7,19.3,68.5,none
21,83.9,28.9,21.0,70.7,none
22,83.7,33.7,20.9,71.9,none
23,83.4,35.2,19.9,70.7,none
24,83.2,33.8,20.4,71.0,none
25,83.0,36.1,20.4,71.6,none
26,82.8,34.5,20.1,70.6,none
27,82.5,31.9,20.9,71.0,none
28,82.3,33.2,20.3,70.3,none
29,82.1,35.6,21.1,72.1,none
30,81.9,32.3,21.6,71.8,none
31,81.6,33.1,20.5,70.3,none
32,81.4,33.4,21.0,71.2,none
33,81.2,38.3,21.3,73.0,none
34,80.9,37.5,20.8,71.8,none
35,80.7,34.5,20.7,70.7,none
36,80.4,36.0,22.2,72.6,none
37,80.2,40.4,20.8,72.4,none
38,79.9,38.7,20.8,71.7,none
39,79.6,35.6,21.3,71.5,none
40,79.4,36.3,21.3,71.5,none
41,79.1,41.9,22.3,73.8,none
42,78.9,38.3,22.5,72.3,none
43,78.8,37.6,20.7,70.9,none
44,78.5,40.9,21.0,72.2,none
45,78.4,38.4,21.9,72.7,none
46,78.1,43.5,21.0,72.8,none
47,77.8,42.2,21.6,73.2,none
48,77.6,39.1,21.1,71.4,none
49,77.4,42.7,22.3,73.3,none
50,77.1,39.2,22.8,71.4,none
51,76.9,39.6,22.2,72.3,none
52,76.6,43.7,21.7,73.3,none
53,76.4,44.8,21.4,73.1,none
54,76.1,41.8,23.0,71.4,none
55,75.9,46.1,22.7,73.2,none
56,75.7,45.4,21.6,73.4,none
57,75.5,45.3,22.9,72.4,none
58,75.2,46.7,23.1,72.5,none
59,74.9,47.1,22.4,73.5,none
60,74.7,44.7,22.5,72.6,none
61,74.5,45.2,23.1,71.7,none
62,74.3,44.3,22.0,72.9,none
63,74.0,43.8,23.2,70.9,none
64,73.7,47.9,22.4,73.3,none
65,73.5,48.6,23.5,71.7,none
66,73.3,48.3,22.6,72.9,none
67,73.1,46.5,23.1,71.5,none
68,72.8,46.2,23.4,71.0,none
69,72.6,46.5,22.3,72.6,none
70,72.4,51.7,23.4,72.3,none
71,72.1,48.7,23.5,71.3,none
72,71.9,47.9,24.1,70.1,none
73,71.7,48.4,23.0,71.8,none
74,71.4,47.9,22.9,71.6,none
75,71.2,49.5,24.5,69.5,none
76,71.0,53.8,23.8,71.9,none
77,70.8,50.8,23.1,71.9,none
78,70.6,50.9,24.7,69.5,none
79,70.3,50.3,23.5,71.0,none
80,70.1,52.7,23.6,71.5,none
81,69.9,50.8,24.3,69.7,none
82,69.7,50.2,24.4,69.4,none
83,69.4,50.6,23.7,70.4,none
84,69.2,55.4,23.6,71.9,none
85,69.0,52.4,24.8,69.2,none
86,68.8,52.1,24.5,69.4,none
87,68.7,52.8,23.6,70.9,none
88,68.4,56.6,24.9,70.0,none
89,68.3,56.2,24.7,70.0,none
90,68.0,57.3,23.9,71.5,none
91,67.8,56.5,24.7,70.1,none
92,67.5,55.4,24.8,69.4,none
93,67.3,56.1,24.1,70.6,none
94,67.0,58.4,24.6,70.5,none
95,66.8,56.9,25.5,68.5,none
96,66.5,56.0,25.6,67.9,none
97,66.2,56.1,24.8,69.1,none
98,65.9,59.5,24.7,70.2,none
99,65.7,59.7,25.5,68.9,none
100,65.4,56.0,24.9,68.7,none
101,65.2,59.3,25.5,68.7,none
102,64.9,57.5,25.7,67.6,none
103,64.7,59.4,24.8,69.5,none
104,64.4,61.0,25.5,68.9,none
105,64.1,63.4,24.6,70.8,none
106,63.9,61.0,24.7,69.9,none
107,63.6,59.8,26.0,67.3,none
108,63.4,61.7,25.8,68.2,none
109,63.2,63.4,26.4,67.7,none
110,62.9,64.5,25.7,68.9,none
111,62.6,61.7,26.6,66.7,none
112,62.4,65.1,24.8,70.3,none
113,62.1,63.7,25.0,69.4,none
114,61.9,63.5,25.7,68.3,none
115,61.7,64.5,26.0,68.1,none
116,61.4,61.9,26.8,65.9,none
117,61.2,63.7,25.5,68.4,none
118,60.9,62.8,26.6,66.3,none
119,60.7,63.2,26.9,65.9,none
120,60.5,63.4,26.3,66.8,none
121,60.2,64.5,25.6,68.1,none
122,60.0,68.6,25.9,68.8,none
123,59.8,65.7,27.0,66.1,none
124,59.6,64.2,25.3,68.2,none
125,59.4,67.0,26.0,67.9,none
126,59.2,69.4,25.6,69.0,none
127,59.0,64.8,26.5,66.3,none
128,58.7,65.8,25.7,67.7,none
129,58.5,70.3,26.6,67.6,none
130,58.3,68.1,26.7,66.7,none
131,58.1,65.8,27.2,65.1,none
132,57.9,66.8,27.3,65.2,none
133,57.7,66.4,26.7,66.0,none
134,57.4,68.5,26.8,66.3,none
135,57.2,71.7,27.3,66.4,none
136,56.9,72.6,27.4,66.5,none
137,56.6,68.0,26.1,66.9,none
138,56.4,70.8,27.9,65.0,none
139,56.2,73.4,27.1,66.8,none
140,56.0,73.4,26.4,67.9,none
141,55.8,73.6,26.5,67.6,none
142,55.6,71.1,27.5,65.2,none
143,55.3,71.0,26.6,66.5,none
144,55.2,72.8,27.2,66.0,none
145,55.0,73.4,28.3,64.6,none
146,54.7,70.3,28.2,63.7,none
147,54.5,69.8,27.6,64.4,none
148,54.3,75.6,27.5,66.2,none
149,54.1,75.9,28.3,65.0,none
150,53.9,75.3,35.0,54.6,heat_spike
151,53.7,70.9,27.2,65.0,none
152,53.4,71.3,27.0,65.3,none
153,53.2,71.7,27.2,65.0,none
154,52.9,75.1,26.9,66.4,none
155,52.7,76.9,26.7,67.1,none
156,52.5,72.3,28.6,62.7,none
157,52.3,74.8,27.0,65.8,none
158,52.0,78.4,27.2,66.6,none
159,51.8,78.0,27.0,66.7,none
160,51.6,75.1,27.1,65.6,none
161,51.4,77.8,28.8,63.6,none
162,51.2,76.9,28.0,64.5,none
163,51.0,78.3,27.4,65.7,none
164,50.7,79.2,28.0,65.0,none
165,50.5,78.3,27.2,65.9,none
166,50.2,79.2,28.2,64.6,none
167,50.0,77.6,27.6,64.8,none
168,49.7,77.4,28.1,63.9,none
169,49.5,76.6,29.1,62.2,none
170,49.3,78.5,27.7,64.6,none
171,49.0,78.8,28.6,63.3,none
172,48.8,77.8,27.5,64.6,none
173,48.6,76.7,29.3,61.5,none
174,48.4,79.4,28.5,63.5,none
175,48.1,78.5,29.3,61.8,none
176,47.9,79.3,29.1,62.3,none
177,47.7,81.4,28.3,64.0,none
178,47.4,82.5,29.0,63.2,none
179,47.2,83.2,29.5,62.6,none
180,46.9,81.1,28.2,63.7,none
181,46.7,81.0,27.9,64.1,none
182,46.4,84.0,28.7,63.8,none
183,46.2,80.5,29.2,61.9,none
184,46.0,82.4,28.7,63.0,none
185,45.7,82.2,28.2,63.7,none
186,45.5,83.3,29.4,62.1,none
187,45.3,82.1,28.4,63.2,none
188,45.1,83.7,28.3,63.7,none
189,44.8,83.0,29.1,62.2,none
190,44.7,82.4,28.4,63.0,none
191,44.4,81.4,29.8,60.4,none
192,44.2,84.1,28.6,63.0,none
193,43.9,85.5,28.2,63.9,none
194,43.7,85.5,29.0,62.6,none
195,43.5,83.0,28.9,61.9,none
196,43.2,81.7,28.3,62.4,none
197,42.9,81.8,29.4,60.6,none
198,42.8,84.5,29.3,61.5,none
199,42.5,85.5,29.6,61.2,none
200,42.3,85.2,30.2,60.2,none
